id_client,type_client,secteur_activite,taille_entreprise,statut_juridique,annee_creation,anciennete_relation_ifc,score_risque_pays,diversification_geographique,exposure_externe,pays_implantation,region,ville,zone_urbaine_rurale,indice_developpement_local,accessibilite_infrastructure,risque_climatique_local,risque_securitaire,dynamisme_economique_local,distance_centre_economique,exposition_risque_naturel,distance_hub_logistique,indice_conflit_local,chiffre_affaires,croissance_ca,stabilite_revenus,diversification_revenus,ratio_revenus_ifs,marge_brute,marge_operationnelle,ebitda,resultat_net,roe,roa,marge_net_operating,total_actifs,total_passifs,ratio_endettement,ratio_autonomie_financiere,levier_financier,ratio_liquidite_generale,ratio_liquidite_immediate,fonds_roulement,BFR,tresorerie_nette,liquidite_immediate_ajustee,encours_dette,service_dette,DSCR,capacite_endettement,maturite_dette,montant_moyen_transaction,frequence_transactions,revenus_recurrents,charges_recurrentes,solde_moyen,volatilite_solde,incidents_paiement,retards_paiement,nb_incidents,duree_relation_banque,utilisation_decouvert,taux_transactions_digitales,score_maturite_digitale,adoption_mobile_banking,score_innovation,risque_sectoriel,cyclicite_secteur,concurrence_marche,exposition_choc_eco,type_intervention_ifc,exposition_ifc,part_ifc_dans_financement,categorie_esg_ifc,impact_environnemental,gestion_risques_env,plan_reduction_carbone,impact_social,respect_normes_travail,inclusion_genre,taux_femmes_cadres,politique_sante_securite,qualite_management,transparence_financiere,structure_conseil,risque_corruption,code_ethique,score_gouvernance_ifc,stabilite_pays,croissance_pays,inflation,taux_change_risque,volatilite_devise,croissance_local,probabilite_defaut,perte_en_cas_defaut,exposition_defaut,score_credit,classe_risque
186,Institution_financiere,Infrastructure,PME,SARL,2010,13,0.12,8,0.39,Morocco,Est,Brasilia,Urbain,0.56,0.79,0.34,0.38,0.93,79,0.14,53,0.33,4349826,-0.08,0.54,2,0.47,0.14,0.18,1165158,387330,0.08,0.17,0.26,2346681,13910443,0.82,0.13,3.58,1.61,1.24,260219,240500,663220,31087,3308404,299154,0.77,0.0,5,4328,32,98309,31475,194562,0.39,0,1,1,9,0.11,0.91,0.45,0.37,0.75,0.54,0.69,0.46,0.15,Pret,57858,0.26,FI,0.32,0.67,1,0.3,0.08,0.63,0.64,0.06,0.43,0.15,0.23,0.06,1,0.37,0.2,-0.006,0.044,0.56,0.19,0.05,0.48,0.63,4821302,0.5549999999999999,Moyen
187,Secteur_public,Infrastructure,PME,SARL,1999,0,0.28,10,0.45,Turkey,Ouest,New Delhi,Urbain,0.69,0.55,0.58,0.21,0.49,44,0.18,173,0.27,1832747,0.0,0.21,1,0.16,0.35,0.27,1598973,466300,0.28,0.04,0.19,14684890,5323277,0.69,0.02,2.89,2.34,0.04,283918,450640,-63911,-33817,3939021,8401,0.64,0.28,2,458,7,13135,46643,259096,0.34,0,1,3,16,0.63,0.37,0.37,0.57,0.56,0.16,0.47,0.11,0.24,Pret,1924599,0.36,C,0.2,0.12,1,0.18,0.32,0.27,0.22,0.26,0.23,0.18,0.1,0.43,0,0.17,0.4,0.017,0.055,0.27,0.2,0.07,0.56,0.83,1090758,0.6950000000000001,Moyen
188,Entreprise,Industrie,PME,SAS,1991,16,0.49,9,0.63,Senegal,Ouest,New Delhi,Rural,0.09,0.67,0.17,0.34,0.76,60,0.43,195,0.04,8053026,0.09,0.16,6,0.23,0.18,0.6,14842,685131,-0.07,-0.03,0.02,7556121,3004617,2.92,0.15,0.06,0.91,1.3,326378,-32866,208989,-2789,321478,56431,0.52,0.21,4,7625,48,10651,47768,177374,0.53,1,2,3,7,0.04,0.11,0.54,0.8,0.72,0.33,0.52,0.25,0.31,PPP,4090494,0.02,A,0.17,0.24,0,0.81,0.27,0.09,0.2,0.4,0.16,0.4,0.25,0.35,0,0.04,0.52,0.038,0.056,0.08,0.05,0.03,0.05,0.66,2139206,0.41500000000000004,Moyen
189,Fonds,Finance,TPE,Public,2002,4,0.64,10,0.47,Kenya,Nord,Accra,Rural,0.42,0.8,0.38,0.46,0.63,29,0.45,123,0.15,3885686,0.17,0.6,6,0.11,0.28,0.28,773793,806832,0.25,-0.03,0.33,10989108,9604339,2.01,0.69,2.73,1.55,1.31,443023,116563,122155,159760,2410967,425192,2.6,0.8,5,9599,77,94740,99056,41797,0.72,0,0,4,14,0.12,0.41,0.65,0.52,0.27,0.14,0.43,0.49,0.24,Equity,2576413,0.22,C,0.16,0.5,0,0.09,0.26,0.3,0.5,0.15,0.16,0.44,0.47,0.2,0,0.43,0.51,0.017,0.029,0.3,0.13,0.05,0.23,0.35,2508765,0.334,Faible
190,PPP,Education,PME,SA,1983,1,0.44,8,0.02,Senegal,Sud,Bangkok,Rural,0.85,0.36,0.2,0.18,0.7,85,0.33,39,0.08,1872403,0.11,0.12,8,0.37,0.23,0.05,664594,841488,0.27,-0.06,0.27,657196,13427233,1.88,0.43,1.67,1.9,0.58,237984,167989,-88563,49230,4726470,326774,1.41,0.04,4,7471,79,56859,18562,328528,0.58,0,0,1,11,0.42,0.66,0.29,0.34,0.76,0.28,0.2,0.09,0.21,Equity,3805693,0.41,B,0.66,0.45,0,0.21,0.14,0.16,0.09,0.59,0.46,0.52,0.45,0.13,1,0.3,0.32,0.025,0.066,0.7,0.34,0.01,0.6,0.41,3746920,0.563,Moyen
191,Fonds,Sante,TPE,Public,2002,8,0.09,6,0.23,Nigeria,Est,Yamoussoukro,Rural,0.55,0.49,0.22,0.17,0.53,63,0.33,165,0.19,8626395,-0.02,0.66,9,0.44,0.51,0.7,1508226,834911,-0.01,0.07,0.51,10256687,4784049,2.65,0.87,0.21,1.85,1.45,333799,147989,246988,220533,826029,166586,0.78,0.75,3,942,82,55044,80527,91825,0.45,0,0,4,13,0.11,0.26,0.73,0.75,0.28,0.31,0.13,0.57,0.5,Equity,1030468,0.14,FI,0.16,0.11,1,0.09,0.32,0.65,0.33,0.27,0.13,0.18,0.35,0.2,0,0.4,0.33,-0.007,0.097,0.56,0.22,0.02,0.18,0.75,1714965,0.43499999999999994,Moyen
192,Entreprise,Sante,Grande,SAS,1980,3,0.38,4,0.28,Brazil,Est,Bucharest,Rural,0.37,0.29,0.76,0.23,0.74,76,0.43,98,0.09,2281193,-0.09,0.51,2,0.12,0.29,0.4,1955464,202236,-0.03,-0.0,0.2,4792532,11372351,0.53,0.01,1.39,2.69,0.37,123888,403711,900932,413196,4139174,291615,1.99,0.6,1,2236,46,88771,30275,268870,0.57,1,3,1,16,0.26,0.79,0.32,0.24,0.86,0.11,0.55,0.2,0.47,Pret,2738882,0.16,FI,0.06,0.44,0,0.73,0.73,0.36,0.15,0.35,0.03,0.1,0.49,0.23,1,0.25,0.04,0.026,0.043,0.27,0.24,0.07,0.03,0.69,1738755,0.372,Faible
193,PPP,Education,TPE,Public,2004,16,0.5,9,0.33,Uzbekistan,Sud,Manila,Rural,0.54,0.55,0.53,0.19,0.49,26,0.56,50,0.28,6192918,0.07,0.9,5,0.27,0.26,0.46,1668575,203150,-0.06,0.07,0.15,2960701,4395405,0.22,0.93,3.91,1.38,0.79,412292,131496,440802,77555,2187486,433370,1.49,0.18,3,8015,60,17934,21704,46924,0.45,1,2,0,13,0.24,0.44,0.66,0.93,0.92,0.29,0.24,0.21,0.17,Pret,4996632,0.16,A,0.31,0.4,0,0.11,0.38,0.24,0.21,0.25,0.61,0.2,0.51,0.22,0,0.35,0.36,0.045,0.108,0.05,0.62,0.04,0.16,0.76,1623719,0.438,Moyen
194,Secteur_public,Agriculture,Grande,SAS,1981,16,0.22,12,0.11,Benin,Est,Brasilia,Urbain,0.45,0.44,0.08,0.33,0.62,45,0.27,28,0.33,9154194,0.01,0.69,5,0.19,0.14,0.34,1485555,384255,0.22,0.18,0.42,1907695,592899,2.63,0.05,4.91,0.94,1.81,231772,98520,35657,356113,1660330,39842,1.02,0.65,2,7744,81,84483,18317,394696,0.78,0,1,2,11,0.11,0.5,0.61,0.36,0.41,0.21,0.21,0.26,0.3,Equity,484548,0.3,B,0.22,0.14,1,0.66,0.23,0.4,0.1,0.06,0.03,0.2,0.28,0.18,1,0.29,0.04,0.041,0.045,0.14,0.29,0.03,0.18,0.68,24821,0.43600000000000005,Moyen
195,Entreprise,Agriculture,TPE,SAS,2009,17,0.28,9,0.34,Côte d’Ivoire,Nord,Santiago,Urbain,0.65,0.33,0.39,0.31,0.14,95,0.11,14,0.42,9320136,0.1,0.47,8,0.57,0.33,0.15,824878,754652,0.14,0.19,0.59,16564793,14552395,1.06,0.98,2.06,1.05,1.55,254070,364277,290590,267589,2708411,413702,2.15,0.28,7,2220,47,33403,4516,230816,0.69,1,0,4,1,0.3,0.48,0.65,0.39,0.49,0.47,0.75,0.04,0.6,Equity,4893638,0.01,A,0.5,0.46,0,0.17,0.12,0.59,0.03,0.34,0.23,0.46,0.36,0.22,1,0.22,0.5,0.03,0.035,0.36,0.08,0.03,0.5,0.51,2799029,0.559,Moyen
196,Fonds,Infrastructure,Grande,SA,1982,15,0.21,10,0.07,Benin,Est,Porto-Novo,Urbain,0.73,0.31,0.08,0.17,0.17,35,0.35,52,0.28,5395291,-0.04,0.28,9,0.2,0.39,0.4,31525,431680,-0.1,-0.01,0.31,8981514,8751368,1.15,0.1,0.48,2.59,1.7,323076,339950,307854,60529,4345018,300565,1.54,0.15,1,5979,43,88306,43184,216538,0.87,0,3,1,4,0.57,0.5,0.46,0.41,0.4,0.3,0.4,0.25,0.07,PPP,2850411,0.37,B,0.1,0.27,1,0.42,0.13,0.17,0.15,0.34,0.29,0.14,0.3,0.27,0,0.32,0.1,0.038,0.028,0.27,0.17,0.06,0.25,0.45,1531395,0.396,Faible
197,Projet_SPV,Infrastructure,PME,SARL,2000,7,0.52,10,0.25,Egypt,Nord,Lima,Rural,0.56,0.34,0.45,0.09,0.35,78,0.46,122,0.4,2987658,0.21,0.93,5,0.11,0.17,0.36,300170,875481,0.23,-0.03,0.18,2242559,13936864,0.09,0.21,4.58,1.74,0.76,241655,45585,826614,248584,3420437,459993,1.48,0.35,1,8057,81,95019,17158,27729,0.31,0,1,2,5,0.15,0.6,0.81,0.21,0.74,0.46,0.71,0.36,0.13,Equity,4759464,0.22,FI,0.2,0.51,0,0.2,0.6,0.17,0.09,0.2,0.4,0.32,0.69,0.39,0,0.45,0.27,0.055,0.07,0.1,0.48,0.04,0.31,0.52,4163291,0.42100000000000004,Moyen
198,Institution_financiere,Finance,Grande,SAS,2004,10,0.3,9,0.05,Turkey,Est,Bangkok,Rural,0.58,0.66,0.06,0.3,0.56,7,0.38,92,0.11,3647692,0.0,0.27,5,0.14,0.1,0.14,372503,127624,-0.1,-0.08,0.37,2413567,3337278,0.05,0.72,0.34,1.53,1.95,268260,48593,305224,278806,3408721,258687,2.64,0.92,8,5999,61,51016,99004,171521,0.54,1,2,0,12,0.11,0.39,0.58,0.45,0.53,0.46,0.44,0.17,0.15,Pret,4387322,0.14,B,0.23,0.06,1,0.6,0.02,0.43,0.54,0.34,0.19,0.55,0.3,0.23,1,0.17,0.36,0.028,0.049,0.39,0.27,0.06,0.06,0.26,931503,0.274,Faible
199,Fonds,Tech,PME,SAS,1999,17,0.59,14,0.23,India,Nord,Hanoi,Rural,0.37,0.24,0.05,0.29,0.82,67,0.28,30,0.36,2261871,0.2,0.66,3,0.45,0.29,0.37,782117,116335,0.04,-0.02,0.37,12800899,10196363,2.1,0.39,1.6,2.23,1.31,197737,-37854,886790,470408,661425,267438,2.75,0.62,7,8398,45,24757,14138,69955,0.38,0,1,1,14,0.14,0.28,0.72,0.27,0.56,0.33,0.07,0.1,0.14,PPP,4446098,0.32,C,0.5,0.43,0,0.2,0.26,0.51,0.43,0.51,0.58,0.42,0.62,0.24,0,0.75,0.3,0.031,0.06,0.55,0.09,0.06,0.61,0.56,190296,0.523,Moyen
200,PPP,Industrie,PME,SA,2001,9,0.05,10,0.15,Serbia,Sud,Bogota,Urbain,0.43,0.77,0.37,0.49,0.66,53,0.26,158,0.53,3073114,0.12,0.45,6,0.27,0.15,0.48,722780,253582,-0.14,0.05,0.29,12467385,4872855,1.93,0.93,0.82,1.65,0.0,449220,470283,995154,77950,544345,510,2.27,0.56,7,295,64,77580,90247,37832,0.32,1,1,4,12,0.31,0.41,0.27,0.37,0.29,0.52,0.12,0.03,0.25,Equity,2430357,0.35,B,0.56,0.24,1,0.48,0.12,0.48,0.21,0.29,0.3,0.24,0.26,0.35,1,0.07,0.4,0.02,0.051,0.4,0.3,0.0,0.52,0.69,2256366,0.653,Moyen
201,Entreprise,Infrastructure,Grande,SAS,2000,12,0.06,3,0.16,Serbia,Est,Mexico City,Rural,0.61,0.19,0.15,0.06,0.51,41,0.34,121,0.25,4942447,0.1,0.29,7,0.33,0.12,0.34,237301,961419,0.12,0.08,0.04,2631064,1772642,0.85,0.11,1.26,3.0,0.15,294521,53845,304945,21640,3337829,195946,2.83,0.73,9,3580,4,92890,40252,117559,0.67,0,0,2,16,0.18,0.93,0.92,0.05,0.43,0.11,0.5,0.49,0.26,Equity,3923024,0.63,A,0.39,0.35,1,0.14,0.25,0.25,0.39,0.15,0.52,0.45,0.3,0.18,0,0.37,0.12,0.012,0.037,0.31,0.46,0.04,0.32,0.53,261690,0.445,Moyen
202,Institution_financiere,Sante,TPE,SARL,2012,16,0.5,11,0.32,Egypt,Nord,Astana,Urbain,0.23,0.08,0.56,0.24,0.86,4,0.43,155,0.19,1481468,-0.06,0.84,3,0.15,0.22,0.26,1858092,85347,0.13,-0.07,0.08,3979048,12325233,0.64,0.73,3.27,1.57,1.4,128723,437597,52794,488673,1024907,3699,2.59,0.42,7,6167,63,88390,98871,44872,0.5,0,0,3,4,0.09,0.63,0.18,0.16,0.51,0.16,0.13,0.06,0.27,PPP,1487090,0.14,C,0.55,0.14,0,0.14,0.02,0.26,0.53,0.5,0.3,0.28,0.29,0.46,0,0.16,0.31,0.027,-0.004,0.72,0.33,0.03,0.26,0.72,4752611,0.514,Moyen
203,Entreprise,Finance,TPE,SA,2017,17,0.11,12,0.62,Morocco,Ouest,Bogota,Rural,0.46,0.47,0.2,0.04,0.47,2,0.22,66,0.19,3664158,-0.08,0.36,2,0.3,0.36,0.5,1947033,-45547,-0.02,-0.03,0.29,4412268,8407643,2.4,0.54,0.22,1.43,1.89,177383,259132,179008,307257,3886815,233829,0.8,0.58,4,7391,57,3809,42998,418103,0.31,0,0,1,8,0.38,0.83,0.72,0.85,0.79,0.33,0.33,0.49,0.08,Equity,1180699,0.71,A,0.41,0.1,1,0.33,0.15,0.16,0.24,0.13,0.4,0.13,0.24,0.06,0,0.41,0.4,-0.003,0.039,0.23,0.13,0.06,0.24,0.31,1638437,0.331,Faible
204,PPP,Industrie,TPE,SARL,1994,9,0.11,3,0.27,Pakistan,Ouest,Astana,Urbain,0.71,0.67,0.38,0.05,0.97,35,0.51,101,0.06,157013,0.03,0.9,2,0.69,0.23,0.06,1963709,730935,-0.15,-0.09,0.63,6844497,9131137,0.24,0.86,1.91,2.73,1.49,87762,294486,343409,181240,3861286,436169,2.21,0.25,8,3496,35,35650,10505,374869,0.28,1,0,3,3,0.13,0.4,0.37,0.65,0.21,0.3,0.36,0.4,0.51,Equity,4606173,0.04,FI,0.2,0.34,0,0.41,0.09,0.52,0.29,0.61,0.16,0.12,0.14,0.14,1,0.08,0.49,0.048,0.046,0.11,0.49,0.02,0.01,0.74,522721,0.41100000000000003,Moyen
205,Entreprise,Finance,TPE,SARL,1994,15,0.24,11,0.06,Nigeria,Ouest,New Delhi,Rural,0.89,0.18,0.34,0.37,0.12,33,0.35,77,0.31,1223273,-0.08,0.36,9,0.55,0.41,0.39,1248305,952801,0.07,0.13,0.48,5574480,5131579,1.88,0.11,0.02,0.8,1.04,431273,203625,733398,355185,638691,301337,0.64,0.48,7,679,14,80445,84418,172525,0.66,0,0,1,2,0.35,0.91,0.49,0.76,0.15,0.05,0.12,0.22,0.32,Equity,1375301,0.24,C,0.25,0.24,0,0.36,0.37,0.41,0.43,0.13,0.12,0.18,0.3,0.54,1,0.3,0.14,-0.009,0.058,0.62,0.47,0.04,0.39,0.59,4946550,0.512,Moyen
206,Projet_SPV,Industrie,TPE,SA,2004,19,0.54,6,0.23,Indonesia,Est,Beijing,Urbain,0.76,0.79,0.13,0.31,0.26,50,0.05,39,0.03,1481559,0.14,0.16,6,0.19,0.37,0.03,1091271,505075,0.26,-0.02,0.19,9622055,8778378,0.3,0.9,2.07,0.69,0.4,406005,137970,637503,109749,4213088,113873,0.9,0.77,3,3264,52,29296,9602,266650,0.69,0,0,1,11,0.39,0.27,0.47,0.74,0.69,0.29,0.2,0.33,0.45,Equity,1200654,0.32,C,0.18,0.48,1,0.22,0.31,0.3,0.32,0.33,0.07,0.11,0.31,0.11,0,0.54,0.31,0.068,0.01,0.11,0.2,0.03,0.15,0.52,2931361,0.32299999999999995,Faible
207,Institution_financiere,Industrie,PME,SAS,2000,4,0.51,6,0.19,Benin,Nord,Pretoria,Urbain,0.77,0.35,0.49,0.16,0.21,13,0.22,170,0.55,2224480,0.14,0.55,2,0.25,0.16,0.16,1090762,325611,0.2,0.07,0.09,3451118,10939686,2.94,0.04,2.32,1.68,1.6,9619,220770,379293,262601,1991860,486457,3.0,0.73,5,3446,41,90614,40484,116904,0.47,0,0,3,5,0.3,0.41,0.5,0.07,0.77,0.1,0.2,0.21,0.2,PPP,1917143,0.24,B,0.42,0.6,0,0.16,0.23,0.53,0.27,0.43,0.39,0.17,0.19,0.51,0,0.14,0.14,0.045,0.055,0.4,0.11,0.02,0.22,0.49,2186867,0.42900000000000005,Moyen
208,Institution_financiere,Education,TPE,SARL,2003,12,0.06,13,0.15,Brazil,Ouest,Jakarta,Rural,0.13,0.12,0.23,0.2,0.47,7,0.31,28,0.08,2713762,0.09,0.3,5,0.26,0.06,0.59,137264,564847,0.09,0.04,0.15,16031979,4988102,2.95,0.88,4.16,2.97,1.15,447792,250572,309171,478292,4583248,326599,2.6,0.8,2,4805,79,79012,42841,71820,0.88,1,1,1,10,0.31,0.64,0.78,0.25,0.41,0.33,0.29,0.16,0.21,Equity,1491228,0.22,C,0.52,0.27,0,0.04,0.31,0.03,0.48,0.47,0.04,0.47,0.55,0.18,0,0.29,0.15,0.039,0.054,0.53,0.36,0.05,0.34,0.25,3039205,0.387,Faible
209,PPP,Infrastructure,PME,SARL,1984,17,0.2,13,0.17,Peru,Est,Lima,Rural,0.73,0.71,0.34,0.23,0.59,39,0.72,84,0.15,7785676,-0.01,0.64,7,0.3,0.28,0.25,1876317,636890,-0.16,0.04,0.24,6718541,430697,0.82,0.96,2.53,1.39,0.34,58078,393718,-27629,29419,1312374,484141,1.13,0.59,9,1500,62,90218,25618,58695,0.43,1,1,2,14,0.34,0.36,0.16,0.91,0.65,0.09,0.34,0.23,0.38,PPP,2792617,0.08,FI,0.54,0.1,1,0.66,0.44,0.36,0.17,0.28,0.06,0.59,0.55,0.27,0,0.46,0.31,0.031,0.004,0.29,0.13,0.02,0.06,0.86,1065221,0.396,Faible
210,Projet_SPV,Finance,PME,SARL,1985,16,0.03,6,0.15,Egypt,Nord,Ankara,Urbain,0.63,0.17,0.27,0.07,0.91,91,0.11,63,0.04,3530962,0.14,0.67,1,0.24,0.13,0.28,803583,858959,0.13,0.1,0.33,14046043,3014132,1.91,0.1,0.79,2.24,0.44,24638,368877,433911,36609,3014521,354031,1.25,0.84,6,3467,86,28780,17373,406794,0.46,0,1,1,6,0.36,0.18,0.25,0.14,0.18,0.23,0.14,0.31,0.21,Equity,2582433,0.3,B,0.19,0.45,1,0.49,0.19,0.09,0.15,0.23,0.4,0.26,0.62,0.42,1,0.56,0.4,0.064,0.066,0.29,0.35,0.05,0.11,0.85,3949574,0.398,Faible
211,Fonds,Finance,PME,SARL,2022,8,0.14,5,0.47,Philippines,Ouest,Ankara,Rural,0.36,0.57,0.55,0.17,0.3,49,0.21,103,0.36,6798016,0.04,0.35,8,0.21,0.15,0.12,1019375,26406,-0.03,0.02,0.01,19952655,2841879,0.05,0.36,3.01,1.72,0.77,116860,148972,286263,346640,2890775,179844,2.9,0.11,7,5219,64,79323,63860,158152,0.13,1,0,1,6,0.2,0.35,0.19,0.11,0.81,0.25,0.31,0.41,0.27,Equity,4853687,0.38,C,0.16,0.09,1,0.21,0.55,0.14,0.51,0.13,0.47,0.34,0.17,0.46,1,0.14,0.28,0.058,0.054,0.12,0.24,0.04,0.2,0.27,1977997,0.353,Faible
212,Entreprise,Education,Grande,SA,2002,13,0.19,14,0.27,Serbia,Ouest,Islamabad,Rural,0.52,0.24,0.61,0.16,0.07,3,0.19,55,0.26,1819160,-0.03,0.55,6,0.44,0.63,0.3,238246,249805,0.17,-0.03,0.35,3166745,13646862,0.99,0.86,1.26,2.29,0.71,-40813,204442,-57013,358325,3961452,264951,1.31,0.92,2,1357,63,63801,10021,149638,0.69,1,1,1,16,0.32,0.84,0.38,0.31,0.1,0.24,0.06,0.41,0.5,PPP,1994190,0.49,FI,0.41,0.1,1,0.23,0.47,0.35,0.2,0.36,0.33,0.22,0.2,0.38,1,0.45,0.09,0.033,0.044,0.32,0.33,0.04,0.27,0.79,109764,0.482,Moyen
213,Secteur_public,Sante,Grande,SA,1983,16,0.34,5,0.09,Thailand,Est,Abuja,Urbain,0.6,0.84,0.11,0.46,0.7,17,0.15,146,0.26,8467076,0.02,0.6,1,0.11,0.44,0.15,579742,243120,-0.18,0.02,0.49,13137838,12592528,0.71,0.35,2.55,1.35,0.81,388792,456304,653200,391275,192984,37475,1.84,0.13,2,5888,30,31209,16311,498951,0.57,0,1,1,4,0.22,0.12,0.6,0.54,0.8,0.26,0.11,0.23,0.34,Pret,3743308,0.49,A,0.25,0.16,1,0.31,0.31,0.19,0.21,0.05,0.02,0.24,0.06,0.36,1,0.17,0.1,0.015,0.08,0.54,0.61,0.01,0.04,0.38,2920973,0.3,Faible
214,Entreprise,Sante,PME,Public,2006,3,0.17,2,0.51,Pakistan,Nord,Yamoussoukro,Urbain,0.35,0.6,0.17,0.35,0.52,25,0.11,162,0.54,3489968,0.04,0.51,8,0.45,0.16,0.31,112267,999648,0.04,0.15,0.34,10299512,8417156,0.88,0.24,1.34,2.75,0.79,-29642,249378,582931,166999,2912419,329893,2.89,0.65,9,4725,92,49338,12366,419296,0.52,1,1,2,2,0.54,0.55,0.36,0.76,0.06,0.24,0.31,0.13,0.24,Equity,3053076,0.13,B,0.27,0.15,1,0.1,0.18,0.11,0.21,0.3,0.27,0.28,0.47,0.13,0,0.03,0.06,0.021,0.077,0.25,0.26,0.02,0.33,0.32,2581695,0.455,Moyen
215,Entreprise,Agriculture,Grande,Public,1997,17,0.4,14,0.23,Thailand,Est,Porto-Novo,Urbain,0.81,0.19,0.13,0.35,0.07,94,0.28,185,0.39,6573487,0.09,0.32,5,0.12,0.43,0.25,70696,304212,-0.02,0.07,0.25,14630500,14965451,1.24,0.19,1.24,0.74,1.6,206076,55593,171374,419472,2811895,361574,1.33,0.62,1,5169,93,28498,24318,344327,0.28,1,1,9,4,0.64,0.67,0.61,0.32,0.91,0.3,0.1,0.5,0.5,Pret,3976972,0.19,B,0.3,0.19,0,0.37,0.22,0.04,0.38,0.25,0.62,0.21,0.39,0.19,1,0.23,0.05,0.033,0.061,0.11,0.16,0.01,0.43,0.42,461229,0.495,Moyen
216,Fonds,Infrastructure,TPE,SARL,2000,19,0.37,7,0.68,Romania,Ouest,Dhaka,Rural,0.66,0.44,0.07,0.18,0.12,14,0.22,112,0.35,2489621,0.17,0.56,7,0.21,0.4,0.31,733576,343277,-0.19,0.19,0.25,8618078,8391158,1.25,0.63,3.96,2.51,0.46,91904,264709,132969,-20908,4915721,333723,0.74,0.73,4,4911,28,22944,39083,152845,0.43,0,0,4,13,0.02,0.37,0.17,0.58,0.65,0.11,0.24,0.19,0.3,PPP,4478438,0.36,C,0.23,0.23,0,0.57,0.22,0.25,0.19,0.42,0.07,0.29,0.22,0.32,1,0.27,0.26,0.028,0.011,0.09,0.21,0.03,0.49,0.57,1109553,0.5619999999999999,Moyen
217,Entreprise,Infrastructure,TPE,SAS,2007,14,0.21,12,0.88,Kazakhstan,Est,Astana,Urbain,0.49,0.73,0.16,0.22,0.82,93,0.14,173,0.19,3903040,-0.12,0.18,4,0.25,0.4,0.34,802089,839617,0.04,0.14,0.31,5939990,3804554,1.18,0.17,2.54,0.7,0.47,-28839,452606,317824,455200,125574,445050,2.49,0.29,9,2027,58,27924,6477,199994,0.51,0,2,0,5,0.05,0.42,0.41,0.72,0.86,0.55,0.26,0.24,0.22,PPP,4824624,0.3,B,0.12,0.05,1,0.22,0.57,0.23,0.24,0.19,0.55,0.17,0.08,0.2,0,0.64,0.4,0.026,0.014,0.46,0.15,0.08,0.17,0.78,4368942,0.391,Faible
218,Projet_SPV,Tech,PME,SARL,2014,10,0.32,4,0.2,Ukraine,Est,Dakar,Rural,0.75,0.35,0.09,0.19,0.78,5,0.35,81,0.32,7518380,0.23,0.57,2,0.2,0.03,0.16,940955,582789,-0.12,0.15,0.1,9253977,2672954,2.47,0.14,3.89,2.98,0.1,386932,-13674,-16522,49893,3256771,446118,0.88,0.66,5,1202,2,35882,36040,106469,0.22,1,0,4,2,0.41,0.67,0.44,0.32,0.25,0.18,0.29,0.37,0.23,Equity,1346830,0.29,C,0.08,0.23,0,0.28,0.21,0.11,0.59,0.27,0.39,0.2,0.48,0.02,1,0.15,0.46,0.042,0.08,0.58,0.3,0.05,0.03,0.84,448125,0.43700000000000006,Moyen
219,Projet_SPV,Education,TPE,SAS,2001,11,0.58,14,0.22,Nigeria,Ouest,Rabat,Rural,0.46,0.42,0.39,0.06,0.38,71,0.25,166,0.36,7387572,0.07,0.56,8,0.23,0.65,0.45,170447,75561,-0.19,0.13,0.08,4598537,2662523,0.17,0.16,2.16,0.98,1.53,499125,69069,757971,212051,1423407,363139,2.24,0.05,4,5146,31,9982,19651,186919,0.25,0,1,2,8,0.23,0.63,0.41,0.66,0.08,0.29,0.09,0.41,0.07,Equity,3062942,0.08,B,0.24,0.5,1,0.17,0.2,0.4,0.53,0.24,0.15,0.14,0.07,0.31,1,0.36,0.16,0.055,0.086,0.51,0.5,0.03,0.34,0.45,27673,0.43300000000000005,Moyen
220,Institution_financiere,Sante,PME,SARL,2019,8,0.16,3,0.21,Senegal,Ouest,Pretoria,Urbain,0.55,0.92,0.03,0.17,0.4,83,0.12,151,0.62,5628448,0.08,0.39,4,0.35,0.38,0.26,644898,757540,0.11,0.03,0.08,3762097,421529,0.97,0.67,1.51,1.45,1.12,200535,297153,-53891,195879,4680868,195837,0.63,0.35,3,2715,51,60323,48120,86836,0.39,0,1,2,2,0.16,0.38,0.19,0.23,0.71,0.39,0.25,0.1,0.17,Pret,1485298,0.31,A,0.32,0.33,1,0.11,0.1,0.57,0.19,0.21,0.23,0.08,0.18,0.08,1,0.57,0.26,0.055,0.079,0.17,0.23,0.02,0.2,0.82,3024862,0.432,Moyen
221,PPP,Industrie,PME,Public,2002,12,0.29,8,0.19,Vietnam,Nord,Islamabad,Rural,0.21,0.31,0.14,0.5,0.5,33,0.35,31,0.14,1640141,0.1,0.25,8,0.27,0.1,0.19,599872,593028,0.29,0.14,0.36,14560213,13521746,0.07,0.82,2.66,1.49,0.64,-42027,-30683,303241,453734,1362057,112187,1.04,0.68,6,3831,73,56726,35714,91417,0.74,1,1,2,12,0.21,0.26,0.76,0.8,0.29,0.19,0.14,0.42,0.12,PPP,2973575,0.35,B,0.05,0.17,1,0.15,0.47,0.45,0.28,0.07,0.42,0.27,0.31,0.09,1,0.23,0.09,0.022,0.045,0.21,0.1,0.05,0.46,0.85,1237228,0.639,Moyen
